h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.297591859,1.269810193,1.244630577,1.247170709,2.352047952,1.90785825,1.754850226,1.673197737,15.001105055,15.070697399,15.122686433,15.164146658
2.308363118,1.313968281,1.267342423,1.23237249,2.378082886,1.922412741,1.775325404,1.675416239,15.125598008,15.076647475,15.12409502,15.087825984
2.295049019,1.316202577,1.281607234,1.253717703,2.416410372,1.893624797,1.783020855,1.689740647,15.143345309,15.067310257,15.124300315,15.068844288
2.293595616,1.299318084,1.289800277,1.24724012,2.364035867,1.911321712,1.746277079,1.697377159,15.066323929,15.103454064,15.140609887,15.176746034
2.336639927,1.263005478,1.208449749,1.209290263,2.352688046,1.898549734,1.755908077,1.669305581,15.121986371,15.114391262,15.056232534,15.109571619
2.302433434,1.326577515,1.261354308,1.219506162,2.353068452,1.901402551,1.751692347,1.691591746,15.035046614,15.177409362,15.067293766,15.107855324
2.321704313,1.353899545,1.28532732,1.242524467,2.398959411,1.90159853,1.758212938,1.665543467,15.12603899,15.134779878,15.098145588,15.067722791
2.300988145,1.286383731,1.271971877,1.303160377,2.373844373,1.938729521,1.767552942,1.682365861,15.183219741,15.104478414,15.021526414,15.080615612
2.305784633,1.319507442,1.274997031,1.246178016,2.387659438,1.896377812,1.775158714,1.69449959,15.184827889,15.109511524,15.089522767,15.185220087
2.303153218,1.264923118,1.294827846,1.278822683,2.361078692,1.940457101,1.764469609,1.66834144,15.060122725,15.228323772,15.071796549,15.060549499
2.31415825,1.312016594,1.274598063,1.205782175,2.320280487,1.921665369,1.766090389,1.686149977,15.086659498,15.085109779,15.032610936,15.170773843
2.309808195,1.229047196,1.242932368,1.211860747,2.360307482,1.923428973,1.759355844,1.705765969,15.167637431,15.101299133,15.037854301,15.117724697
2.313611698,1.289583867,1.302156073,1.277526738,2.376021484,1.904509678,1.794349586,1.671948428,15.053947826,15.088189557,15.187758456,15.07058933
2.3056407,1.308485832,1.271233637,1.270918923,2.371524735,1.917849982,1.762702538,1.68166269,15.088768972,15.111005112,15.010194477,15.128189462
2.29995686,1.311442548,1.253585127,1.258095838,2.389235244,1.919171804,1.771048338,1.690559447,15.026753573,15.053114741,15.088832397,15.168578019
2.30254692,1.317771745,1.275838533,1.258778083,2.388878735,1.911934535,1.76831314,1.693898716,15.035750979,15.053993731,15.122466959,15.09025364
2.309962409,1.294705168,1.245535651,1.285726979,2.35884895,1.928035589,1.75531031,1.695312433,15.060646498,15.067366101,15.042573176,15.134894602
2.302531042,1.24560896,1.284347247,1.227076637,2.33088402,1.910946527,1.77787626,1.704351988,15.089535893,15.049157312,15.129522938,15.09081574
2.314316487,1.333478664,1.271775311,1.202785476,2.357291009,1.925566119,1.763765665,1.674047751,15.117090862,15.059093618,15.144715387,15.183555372
2.330471172,1.328626643,1.238278745,1.256494488,2.328864353,1.911852776,1.784395369,1.682967501,15.097777018,15.046496273,15.120376403,15.142447108
2.342086716,1.252029086,1.281185899,1.285133445,2.366217472,1.900864698,1.765841341,1.703737296,15.07195044,15.124659457,15.143531261,15.156630755
2.294154946,1.30757727,1.277108701,1.257503222,2.373722578,1.892479435,1.783475353,1.676065214,15.079401278,15.12220429,15.15658664,15.142363355
2.306769627,1.312283653,1.266831969,1.257105276,2.337352284,1.930183801,1.759750001,1.679259237,15.107507152,15.0840696,15.120387308,15.158061248
2.292718821,1.24442278,1.266436638,1.257093622,2.369043211,1.912905103,1.774548005,1.665106654,15.05123583,15.142289714,15.130294287,15.186246075
2.304182111,1.321823568,1.271065143,1.266095154,2.341073196,1.922312582,1.776655824,1.698811132,15.027725598,15.11505931,15.169945445,15.160028937
2.297208756,1.265154032,1.249140125,1.235536473,2.352518954,1.897595712,1.761423114,1.675354322,15.117649887,15.165053936,15.126264679,15.07670739
2.298883502,1.332271888,1.278607843,1.214607616,2.374408244,1.920731492,1.750436487,1.697365608,15.075155738,15.1358647,15.098440238,15.092956358
2.303949528,1.362198156,1.259991192,1.268173067,2.370915187,1.897620644,1.773754947,1.683643926,15.096579341,15.074636629,15.190265783,15.099193714
2.344759833,1.298474767,1.290295203,1.256171363,2.333166699,1.932330881,1.782494467,1.681729085,15.093934935,15.084416117,15.148349089,15.113784739
2.343032841,1.329278488,1.250531422,1.240154183,2.380119489,1.91729294,1.739550391,1.692743372,15.082789614,15.210671095,15.151854194,15.178797303
