h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.372362852,2.178154779,2.170765974,2.18688694,3.78483306,3.34434075,3.640835513,3.637013489,15.038988244,15.022428198,15.044322645,15.029562538
2.373411352,2.171600876,2.167717002,2.182186901,3.740303916,3.337610501,3.656170102,3.642838844,15.021281636,15.039197028,15.046321955,15.021975962
2.368734809,2.173531526,2.173120479,2.181619458,3.748221731,3.3535375,3.645093283,3.634027339,15.018318494,15.050684887,15.02515558,15.002244868
2.371415456,2.180847665,2.172913918,2.183501807,3.771234269,3.34409543,3.654219084,3.632608182,15.048057777,15.058406801,15.041993139,15.012128979
2.370252695,2.179206274,2.166685245,2.186847095,3.755671561,3.348717776,3.648342859,3.623571454,15.020527726,15.040937147,15.003788758,15.026510225
2.369849866,2.179752037,2.170241344,2.189371336,3.794675694,3.326757144,3.640497857,3.638899179,15.033390283,15.013248732,14.992212237,15.04977852
2.367801734,2.18138492,2.167506009,2.189866521,3.757128202,3.280111811,3.649658082,3.642599669,15.006019468,15.02393476,15.037557357,15.028223931
2.366683881,2.17239363,2.173249121,2.181769682,3.773525082,3.264002773,3.630409058,3.647445958,15.027622367,15.051568824,15.041624289,15.040135051
2.373377444,2.174841642,2.169151135,2.184393842,3.772655971,3.274489769,3.645220363,3.668874578,15.061247252,15.025855306,15.060833352,15.00823082
2.364762254,2.176341457,2.173879195,2.184787803,3.768569353,3.282897202,3.634347023,3.649452746,15.016471308,15.024023606,15.041692129,15.00228112
2.371388203,2.171032141,2.169585772,2.18120248,3.784953198,3.273939381,3.644632578,3.645941541,15.023289064,15.037065632,15.008864609,15.012303944
2.366532935,2.175692879,2.170863548,2.185274265,3.751417535,3.260174815,3.676575236,3.637221093,15.011035449,15.046688675,15.011361025,14.99686563
2.391278927,2.17386422,2.167638644,2.182501762,3.78161,3.27262776,3.634244067,3.633481908,15.037701227,15.04878665,15.02426256,15.021251312
2.368228417,2.177703635,2.168908174,2.18944708,3.779784504,3.305082365,3.638476968,3.641321317,15.036473539,15.059396342,15.008462858,15.064251109
2.365136363,2.178300122,2.165538377,2.180170809,3.761144867,3.272372996,3.628345787,3.633703085,15.065777649,15.014493458,14.983744978,15.002392694
2.36700551,2.171891684,2.171914152,2.188129051,3.775182114,3.265845969,3.636036715,3.632924298,15.056694993,15.031643423,15.007047228,15.017584024
2.368331874,2.171133797,2.174385937,2.207656427,3.748790321,3.270038801,3.641504179,3.639614401,15.061355592,15.065910037,15.001022544,14.994619166
2.369193045,2.173917458,2.170203191,2.20356358,3.796739297,3.271790827,3.643685773,3.63846336,15.056817348,15.031907635,15.04341608,15.027614635
2.375123967,2.176695592,2.170827682,2.188853494,3.747321873,3.271568837,3.629518744,3.651237043,15.045356925,15.024006915,14.987173159,15.035481095
2.375639621,2.177195854,2.17618426,2.18683276,3.786235594,3.275978643,3.648561281,3.6601576,15.02295955,15.020688863,15.057885371,15.097163222
2.370835794,2.177676471,2.169590664,2.209382795,3.754863869,3.284427949,3.642122643,3.651589913,15.040015173,15.020283037,15.02383879,15.052320438
2.370518714,2.177057541,2.172649439,2.204025754,3.737935658,3.286398391,3.647410444,3.635588792,15.046167355,15.047942611,15.013333528,15.028961088
2.371581575,2.174893802,2.172209497,2.183462787,3.615979137,3.367319809,3.641818846,3.62868682,15.01530018,15.019180511,14.995468972,15.004890923
2.362858992,2.187847885,2.17093225,2.181636483,3.426265702,3.468020545,3.635216548,3.634064146,15.016472847,15.041092532,15.011572887,15.041723082
2.375232627,2.174350583,2.172620764,2.195599105,3.422891538,3.445463852,3.637338311,3.635084931,15.052823221,15.050024162,15.013525806,15.071606189
2.37571114,2.176903194,2.1701348,2.200039327,3.426588741,3.448040789,3.642510799,3.635395939,15.021206828,15.070437629,15.009614927,15.074593386
2.373788728,2.172848495,2.174026987,2.182461956,3.427945254,3.451662879,3.634235737,3.652825026,15.01640095,15.082888183,15.040269715,15.0038018
2.375290919,2.178236269,2.174260575,2.192658923,3.426439271,3.448623331,3.641160752,3.637342618,15.053634896,15.036254196,15.017580425,15.018417159
2.375323489,2.177291345,2.173440395,2.202999467,3.419388697,3.463818467,3.636693309,3.633706464,15.039953909,15.047800045,14.997555234,15.052798013
2.368941409,2.171575328,2.173871586,2.203321682,3.512865436,3.462289917,3.642617075,3.642102138,15.014726314,15.072979545,15.051512763,15.057129183
