h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.26656391,1.455062812,1.4614441,1.471316895,2.622383278,2.272827747,2.150023416,2.114373349,14.872614873,14.856389772,14.863357551,14.865884972
2.256181501,1.461542701,1.440570408,1.458227245,2.603221727,2.264737082,2.169459471,2.11345687,14.805362172,14.925945281,14.838738475,14.820999795
2.254821219,1.486557573,1.460140328,1.453961069,2.604073342,2.247909394,2.160859126,2.139285513,14.885159858,14.880430285,14.887572133,14.852840003
2.257332585,1.446916619,1.464436952,1.482910401,2.608754841,2.268731155,2.174309876,2.105687328,14.808822102,14.812593705,14.817907676,14.839823755
2.254061778,1.477361391,1.44861339,1.468303683,2.612392799,2.273644821,2.176886136,2.135859589,14.851699321,14.8494019,14.93017932,14.89807549
2.248453019,1.473465227,1.471214044,1.439681317,2.62122829,2.24878534,2.149383276,2.114880999,14.853463771,14.865541486,14.845874892,14.818996246
2.293457002,1.470161055,1.466864153,1.460061542,2.614766665,2.267529647,2.155077807,2.117864576,14.835361601,14.886980546,14.886260766,14.845423409
2.260607111,1.445636924,1.418388603,1.478375572,2.656043508,2.261783468,2.157327862,2.116196906,14.921184491,14.862349428,14.899753753,14.885105222
2.275074721,1.46840201,1.448539358,1.466324022,2.61928509,2.266523126,2.172741596,2.118153671,14.868192201,14.833680583,14.952789722,14.890919399
2.252069722,1.463880118,1.46321476,1.443057998,2.599844854,2.256881767,2.166818789,2.137112352,14.800580383,14.883949911,14.922400671,14.845676054
2.253480611,1.471063491,1.449005934,1.444108501,2.61164263,2.264294103,2.162850594,2.12797553,14.907109276,14.878053501,14.874473708,14.90540051
2.260207027,1.499297456,1.471804262,1.46209572,2.624150628,2.263162312,2.153265472,2.120656799,14.852805012,14.912940701,14.824920701,14.824273004
2.263788493,1.497455837,1.453413614,1.463526394,2.603418077,2.272775552,2.156409069,2.121146469,14.81383538,14.816200029,14.835169901,14.885860753
2.26356216,1.443943699,1.451243713,1.444842397,2.618799395,2.271398659,2.148842935,2.114396545,14.871893355,14.876961059,14.804828123,14.822884904
2.256878563,1.475296271,1.446981422,1.43428319,2.620073971,2.256633077,2.161377333,2.122115846,14.899833423,14.823242929,14.864149443,14.944273811
2.255619297,1.462018997,1.438327407,1.471628337,2.621073828,2.265273305,2.159360495,2.116681829,14.854055514,14.81460854,14.861698115,14.889142871
2.248525358,1.468843836,1.450570262,1.444044174,2.619561816,2.257628862,2.162449498,2.107436616,14.935038361,14.889793156,14.918085234,14.860934103
2.25335923,1.474068482,1.438887609,1.475092756,2.606225061,2.279422624,2.165619873,2.112007348,14.882760367,14.813603649,14.873807517,14.941823392
2.252583863,1.48234153,1.436550099,1.449206208,2.619062604,2.253202666,2.170458106,2.112013918,14.836479778,14.883732983,14.902196387,14.894636798
2.247399799,1.470096014,1.445508153,1.443421116,2.609969179,2.26178906,2.165449612,2.131942219,14.871318414,14.877357079,14.855478429,14.887961135
2.262505308,1.458794384,1.44427894,1.467783693,2.603714205,2.258981564,2.144767011,2.100445502,14.890128418,14.865300098,14.889515155,14.814582012
2.249881405,1.487087734,1.42749663,1.44680453,2.617902482,2.271171408,2.160893269,2.118607506,14.866763244,14.851727023,14.939487712,14.952112734
2.256701775,1.500441967,1.463670008,1.449749654,2.600738923,2.26579698,2.167164593,2.11760502,14.888647772,14.8800678,14.901388891,14.895107341
2.244540776,1.456337313,1.454064006,1.439172241,2.608112858,2.257469671,2.147838475,2.109009456,14.865955392,14.890907992,14.885908452,14.835102391
2.258238393,1.462394422,1.457336311,1.458390959,2.628004936,2.270190019,2.168105142,2.104227396,14.822592532,14.85043243,14.843845083,14.843401897
2.264538842,1.47204848,1.465913768,1.443815517,2.596339991,2.270648055,2.15074485,2.119538763,14.874325221,14.892957402,14.837694731,14.867963654
2.25615769,1.470275366,1.441895183,1.460457275,2.60707874,2.26788934,2.167035984,2.103983096,14.868506273,14.884942606,14.88725975,14.893820325
2.255991267,1.470952112,1.442035418,1.421809413,2.626834949,2.263850882,2.171390662,2.118079948,14.863520713,14.892828027,14.913214217,14.837993564
2.251592489,1.483403081,1.464731391,1.455074673,2.62066657,2.254650222,2.146029166,2.11554719,14.845778193,14.920639465,14.902713441,14.879451671
2.244941012,1.465927667,1.430399452,1.47112807,2.62525429,2.271024657,2.161755861,2.116101041,14.855305333,14.913474444,14.827411793,14.921807266
