h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.518305919,1.432701408,1.41250486,1.418027452,2.641166051,2.150811662,1.990865963,1.903630833,16.813675259,16.812912443,16.906429094,16.809681984
2.522506062,1.463107198,1.417313023,1.416864224,2.618728596,2.14761718,2.006743376,1.908262121,16.864846891,16.806292326,16.881362869,16.90841741
2.533710238,1.462767889,1.420922076,1.397825919,2.652516105,2.156021142,1.97631288,1.903572627,16.748340132,16.871225118,16.87631202,16.78567805
2.513234256,1.435057223,1.399798314,1.368783336,2.649085481,2.125048093,2.004522932,1.890709217,16.791675264,16.813110471,16.785169627,16.869311024
2.529577673,1.457515607,1.384190801,1.321871142,2.654786096,2.143097156,1.985624128,1.899079631,16.840194327,16.807993536,16.798026494,16.867163122
2.51446909,1.423649402,1.405284973,1.351590608,2.657751353,2.158249825,1.969452514,1.893640337,16.897699678,16.789642001,16.897234333,16.838068222
2.525531007,1.453066951,1.366740164,1.381405933,2.645376367,2.151102494,1.988217755,1.912623277,16.760608793,16.854495997,16.877804821,16.807009432
2.525550407,1.477189619,1.408064977,1.399990073,2.656713571,2.163060101,2.005839414,1.936027047,16.934523493,16.839249854,16.839861392,16.778983827
2.517258593,1.408559667,1.407270281,1.398616903,2.67180196,2.152239123,1.996021794,1.888578816,16.818095512,16.888024792,16.895365487,16.813680946
2.532051418,1.450254381,1.373098039,1.40214608,2.655139144,2.160710113,1.983271626,1.92233302,16.803172663,16.850760201,16.807756279,16.797666837
2.518698251,1.451714821,1.41890317,1.405486994,2.624063438,2.144436123,1.972673704,1.899426899,16.80906456,16.776003352,16.876359855,16.809341075
2.541687538,1.431166246,1.395720121,1.3966968,2.641752763,2.142859233,1.99926609,1.892630699,16.762090749,16.778390615,16.76676932,16.792424423
2.567083915,1.433337479,1.407681897,1.400346987,2.63547905,2.158361121,1.981380444,1.906338204,16.773704795,16.85878954,16.89479148,16.819319121
2.511843495,1.477431361,1.405542096,1.398414119,2.653616019,2.149987767,1.988539602,1.897790204,16.760852258,16.803433118,16.892150331,16.843457503
2.512146578,1.377204262,1.397630268,1.414216215,2.645137804,2.142391241,1.988548121,1.905501638,16.814541088,16.814898374,16.868008073,16.824325477
2.514484445,1.378548088,1.37977118,1.40938095,2.633838643,2.136914562,1.997086328,1.896952591,16.756604446,16.858312252,16.834666902,16.805948068
2.529543343,1.422743285,1.418369496,1.383204469,2.649949631,2.146240083,1.989316776,1.898454779,16.771312938,16.817011025,16.824211863,16.844700756
2.548695155,1.425697845,1.416284869,1.39865983,2.622965818,2.146495471,1.976872148,1.911782202,16.810603141,16.78443684,16.816073898,16.841932313
2.534156292,1.436943315,1.40218293,1.400100846,2.679586582,2.133522101,1.996364112,1.903494202,16.897416839,16.87318927,16.812592343,16.812411905
2.525606685,1.468307588,1.405622305,1.417362699,2.668884701,2.139998414,2.009240323,1.889145303,16.798524546,16.877943784,16.793747793,16.952137545
2.539798879,1.443263896,1.414824455,1.344799875,2.657200682,2.135747916,2.006983435,1.893026977,16.815920732,16.818425536,16.789830705,16.766930066
2.511686822,1.379960365,1.350075746,1.425632882,2.643995212,2.131588179,2.008612568,1.906761394,16.797153109,16.882173207,16.874266828,16.745699268
2.514018492,1.397808871,1.400863084,1.407513928,2.638534078,2.152464633,1.986438002,1.891704909,16.843709856,16.866019253,16.756552921,16.789673124
2.52410708,1.366226793,1.408375446,1.397415733,2.655529205,2.148291415,1.982510417,1.910579045,16.754491779,16.782672347,16.882732009,16.804435903
2.516418035,1.480229963,1.35943461,1.398173601,2.639114465,2.165870437,1.981334838,1.898608246,16.865182272,16.793246356,16.872642138,16.832686908
2.520009565,1.368428143,1.431874091,1.409270395,2.663073789,2.155450629,1.962240634,1.894679037,16.85909622,16.89703036,16.754087943,16.805855022
2.520478551,1.452838903,1.381970124,1.390846321,2.618961219,2.168171372,1.989125827,1.922932938,16.786686535,16.851582635,16.878001973,16.821493575
2.5174659,1.437285338,1.404222587,1.349636379,2.6208943,2.144150956,1.99597126,1.918175159,16.76645183,16.842466993,16.784700016,16.791257946
2.56045319,1.435336659,1.403457277,1.386698942,2.605129105,2.145719651,1.98755569,1.899690052,16.803832411,16.858373993,16.763523788,16.778908928
2.524453405,1.44575645,1.398963524,1.417008399,2.667141298,2.1660421,1.991463923,1.906808373,16.796638022,16.909696499,16.788936148,16.882781491
