h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.686049495,2.445043106,2.463984985,2.509575254,4.322353699,4.222529418,4.219967084,4.193157138,17.182855914,17.148480333,17.187804502,17.141670242
2.716927968,2.442635351,2.460960064,2.490408804,4.304939396,4.191071352,4.268208745,4.233016084,17.14982108,17.196525277,17.05060883,17.166500225
2.743513036,2.43699483,2.470965092,2.492669307,4.329522174,4.173911527,4.264438851,4.194002796,17.15654195,17.134413906,17.090915409,17.334456802
2.704367495,2.435849854,2.447308426,2.524023795,4.336478125,4.169444619,4.249782667,4.187017735,17.175496648,17.217226477,17.095605183,17.313058477
2.733388563,2.432552749,2.437355095,2.510321582,4.270177005,4.204778841,4.252431699,4.185555065,17.122412709,17.22775518,17.112040174,17.434294313
2.693599682,2.442433133,2.456079801,2.50776474,4.268464597,4.207858501,4.246054805,4.153808106,17.225598238,17.230267222,17.087786049,17.271025066
2.680390727,2.437470802,2.44298883,2.534914233,4.276827718,4.244120463,4.206152315,4.152504113,17.319511225,17.083093473,17.101071489,17.313489286
2.676950568,2.442253752,2.469239948,2.533709051,4.307480736,4.262184742,4.221245543,4.149124939,17.236160546,17.008784836,17.083052978,17.393701712
2.715070899,2.445103988,2.48273716,2.496616281,4.325099139,4.203425628,4.187136885,4.154615895,17.182165174,17.109069655,17.257661907,17.329818165
2.765451046,2.444377451,2.469795242,2.518951599,4.321135575,4.232558795,4.156595321,4.14181412,17.327075513,17.053513312,17.212453819,17.252347073
2.753022061,2.440794536,2.504414295,2.467841845,4.322070919,4.251257634,4.151157949,4.156107214,17.338456272,17.276894419,17.134182365,17.376440485
2.798151693,2.436821718,2.488594911,2.486007122,4.364011286,4.274687995,4.165707196,4.177437469,17.149740183,17.098145496,17.129019106,17.130541626
2.789604128,2.436550677,2.478643566,2.479141383,4.330696544,4.189498549,4.179051147,4.168220546,17.166366978,17.097492613,17.223149398,17.214748917
2.772788609,2.435965697,2.453815021,2.472088849,4.27850791,4.195106302,4.166422292,4.206597678,17.173806326,17.139585541,17.1912405,17.149012971
2.789753814,2.445314912,2.477888406,2.482262479,4.316326641,4.189139972,4.161400724,4.160082181,17.163104108,17.080925643,17.125434028,17.125918046
2.710672779,2.43507428,2.438931218,2.475600258,4.266224468,4.251575063,4.222796853,4.174562362,17.160311354,17.110536734,17.213744919,17.168414118
2.784202732,2.459406032,2.440529197,2.495431677,4.309137251,4.252877713,4.174481617,4.16619825,17.179487616,17.213552586,17.181877259,17.260469735
2.76007428,2.457673498,2.460266113,2.46962625,4.277703603,4.184126528,4.196958301,4.172423846,17.212295422,17.113675643,17.19383581,17.183250722
2.778668031,2.439292326,2.461729733,2.444216161,4.302842496,4.179528069,4.22867317,4.145050548,17.186369183,17.155122265,17.25809363,17.217446001
2.73325224,2.432379009,2.449670201,2.438214705,4.304361003,4.193052957,4.206359714,4.16873548,17.192281228,17.194755965,17.148193467,17.117915307
2.691314034,2.436457406,2.435545056,2.443254919,4.278257381,4.193276655,4.220867873,4.179786877,17.190190482,17.182543449,17.215664931,17.146846035
2.701471921,2.434743137,2.439265331,2.446493989,4.318870046,4.190892332,4.238056543,4.157736743,17.08490578,17.052361114,17.300776068,17.21311998
2.689380261,2.436019162,2.435051531,2.443077948,4.38042199,4.169550481,4.19646086,4.159272256,17.043034474,17.108099985,17.200100339,17.184429871
2.691474208,2.438223171,2.438879275,2.443225474,4.382795599,4.166033384,4.186393786,4.164703276,17.118058473,17.11715325,17.253668826,17.155269268
2.684790931,2.446387695,2.44982083,2.460639347,4.302750422,4.190826037,4.175980844,4.192420663,17.358732116,17.201894445,17.193810666,17.166967231
2.685557973,2.455298748,2.431448423,2.450280216,4.335485496,4.222162369,4.197033461,4.174761982,17.269264471,17.16812689,17.1991382,17.120711381
2.709800959,2.465883991,2.430160163,2.44714608,4.377304951,4.235181448,4.248137268,4.167818431,17.168077614,17.161682368,17.20233453,17.124195406
2.69519815,2.44165156,2.449920202,2.459131627,4.312729826,4.186908664,4.195844808,4.170938164,17.205696083,17.090102447,17.148315383,17.104496974
2.745486973,2.455760864,2.452361231,2.479829019,4.311079685,4.191241829,4.191730893,4.159433932,17.268604256,17.136121276,17.100240904,17.171330062
2.687333014,2.480655805,2.481975259,2.512347893,4.278159239,4.211891464,4.150931536,4.202571212,17.217693042,17.237288901,17.196005888,17.187314321
