h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.527952642,1.657278831,1.620155611,1.642764404,2.978845359,2.562132625,2.466120305,2.426577537,16.807988468,16.801363055,16.843611811,16.90859402
2.525295835,1.656438542,1.590917417,1.634417268,3.006866838,2.560249495,2.474370978,2.405673215,16.833390958,16.776922507,16.861799564,16.818353104
2.528746716,1.644381927,1.608952798,1.65814134,2.985075336,2.575648384,2.448773488,2.405641533,16.815698766,16.812460383,16.80071451,16.796782783
2.524261129,1.634067418,1.630649934,1.638495424,2.989638576,2.562370513,2.453026258,2.401033165,16.87496979,16.779581721,16.809032417,16.829745858
2.530815177,1.648046513,1.642354045,1.632277513,2.983916295,2.574267695,2.445287306,2.385386933,16.818302152,16.819225437,16.792265871,16.772362325
2.521051232,1.673163502,1.645828255,1.647036093,2.967914252,2.581249843,2.471635033,2.410034001,16.830323896,16.799413237,16.800892474,16.803466342
2.52598047,1.657132245,1.605541779,1.643128939,2.973484817,2.559846379,2.451329774,2.410070662,16.829354451,16.812481751,16.782644593,16.813599199
2.527470206,1.631241216,1.619721983,1.620279126,2.983520359,2.565593236,2.458478952,2.391787226,16.859905694,16.800852442,16.837923387,16.802395956
2.533735628,1.648299648,1.597606975,1.656775731,2.984821262,2.558461187,2.458930048,2.394107098,16.767264798,16.844432432,16.773593575,16.823736786
2.521624388,1.653009703,1.62316322,1.630885099,2.983928238,2.564793445,2.446855393,2.416046183,16.804554682,16.828892388,16.801160579,16.824522997
2.520821535,1.669157574,1.620182787,1.612431272,2.971958082,2.59058677,2.473730735,2.394808706,16.814649108,16.787051713,16.789400715,16.823645861
2.519560428,1.667273132,1.600916652,1.607415244,2.99005324,2.557697912,2.456318741,2.392130215,16.809666761,16.800065869,16.82606557,16.793961518
2.525897394,1.650069429,1.602523198,1.620741002,2.982623385,2.56838572,2.464947775,2.407663292,16.803662377,16.79201126,16.818074799,16.818107619
2.54132611,1.633408535,1.620108717,1.637837731,2.975794471,2.565336594,2.449308728,2.405550848,16.848517438,16.823598316,16.778504015,16.797742117
2.520811845,1.642299229,1.610824102,1.620629679,2.961082057,2.56735501,2.467451854,2.408799104,16.814327327,16.78642726,16.814942248,16.804412858
2.52729466,1.673886182,1.621389901,1.643705619,2.964335327,2.572438127,2.460175237,2.387581474,16.786025534,16.82269424,16.829077924,16.828600129
2.526599858,1.657092571,1.631183576,1.627457699,2.973914263,2.553922212,2.468506613,2.405013831,16.844031125,16.790524534,16.806567697,16.873841953
2.521573198,1.644253036,1.622302766,1.619625345,2.98467642,2.565010662,2.442510127,2.419775811,16.793286659,16.85720107,16.821634061,16.858208243
2.525019185,1.661677776,1.630747814,1.618129369,2.964790224,2.583086864,2.44696628,2.400240517,16.788730885,16.83896051,16.794488916,16.825747637
2.520935719,1.663968616,1.626236593,1.617601609,2.960129623,2.56535735,2.467440758,2.40403559,16.863325932,16.86113353,16.819151354,16.80930327
2.52604929,1.624856354,1.625020461,1.637707148,2.980963426,2.561757116,2.449915644,2.401635224,16.846940705,16.852297436,16.779117746,16.808988971
2.526150126,1.662675887,1.612664516,1.652608367,2.961195464,2.57046135,2.474382141,2.40515218,16.78585183,16.791943845,16.810801172,16.866486616
2.526756513,1.656366522,1.635424258,1.646051131,2.951030607,2.573191075,2.46571909,2.406222176,16.791391896,16.88267386,16.796379446,16.853829038
2.528788808,1.654782126,1.609057281,1.626146773,2.985828225,2.562844385,2.454953536,2.417318064,16.763952237,16.806245875,16.796827966,16.823783316
2.534132837,1.6739305,1.627899014,1.620116355,2.969852221,2.558044393,2.464397442,2.401756311,16.785431455,16.788998658,16.785236262,16.85266412
2.527727346,1.664414803,1.619291742,1.630489292,3.001243947,2.579175196,2.456827899,2.415164275,16.767082278,16.814753047,16.777847521,16.889947704
2.52513536,1.646400106,1.634917526,1.635842652,2.996341103,2.577411258,2.45890245,2.405027102,16.812855967,16.81297318,16.824743516,16.839239119
2.522371551,1.657277693,1.630252738,1.629243009,2.996908168,2.567816021,2.451961809,2.406123296,16.791295608,16.832621558,16.804110225,16.785095002
2.529530804,1.66798032,1.620588775,1.630368838,2.973115211,2.577168367,2.445580296,2.412334774,16.817610229,16.791974125,16.821461896,16.789853811
2.519772486,1.638888159,1.627175753,1.604203202,2.959241229,2.598291684,2.480079021,2.413443758,16.800970224,16.800211519,16.806892227,16.892413378
