h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.662497559,2.78366245,2.706869147,2.77190579,5.106358619,5.037507848,4.941562413,4.871068604,15.186885328,14.778266759,15.399600685,14.954670558
2.625678095,2.75118282,2.706381047,2.742968256,5.090775358,5.014884917,4.869802162,4.859610836,15.077670071,14.75941517,15.533241768,14.874298083
2.634219447,2.758946902,2.712386862,2.758054761,5.091411561,5.059397601,4.922134819,4.901769056,15.107255059,14.736865421,15.389962989,14.872544024
2.613915112,2.764835041,2.694461325,2.747905553,5.065628845,5.040486247,4.868420215,4.867825492,15.153393833,14.755134613,15.414203746,14.886637673
2.638936962,2.773038122,2.711208299,2.75794927,5.110729289,5.057972063,4.842336104,4.913221714,15.104523354,14.704181912,15.347406362,14.844056707
2.644678324,2.74328553,2.713043016,2.743178285,5.057640989,5.007570273,4.877251812,4.864336869,15.046071259,14.740174711,15.518809877,14.901590278
2.645213975,2.766259811,2.704271926,2.753642562,5.051091975,5.0139579,4.901523884,4.899813179,15.106080839,14.760846215,15.398264677,14.843015962
2.632188313,2.752003492,2.699950765,2.767039539,5.083472198,5.013131419,4.920601846,4.87324839,15.205613775,14.748901352,15.4116856,14.860672429
2.632912511,2.7809707,2.690605706,2.803536781,5.029136623,5.023899453,4.901428939,4.842882693,15.084379286,14.763051196,15.42077916,14.824249011
2.641320144,2.765634103,2.732083465,2.791678048,5.068964905,5.034177377,4.91824213,4.913140333,15.074460906,14.747742537,15.798903675,14.837117735
2.627393692,2.771916274,2.706022603,2.748740653,5.072262726,4.993649368,4.866611056,4.921867704,15.292176497,14.958490127,15.376262371,15.042938699
2.637760922,2.76992395,2.70574187,2.759227263,5.07414104,5.012317623,4.911775102,4.919806749,15.145194677,14.725920746,15.428617761,14.857142215
2.638070929,2.798951639,2.730852874,2.762896777,5.040223283,4.998671469,4.866783375,4.931936492,15.077088107,14.739248528,15.372691323,14.888569617
2.63908038,2.774305852,2.707911246,2.761239107,5.069159168,4.999214156,4.880852937,4.851969491,15.100058472,14.756296606,15.515166215,14.946828323
2.640610386,2.812948841,2.718878834,2.755008956,5.11362477,5.010235529,4.849637567,4.890500035,15.073253798,14.767456306,15.423649535,14.929611442
2.629966048,2.782913914,2.703947696,2.748124817,5.036488809,5.067165218,4.873835764,4.838852456,15.140287541,14.813727302,15.437602202,14.906544605
2.640268363,2.757628579,2.730399736,2.766305161,5.091383687,5.042906263,4.892070437,4.840312124,15.102845704,14.770766777,15.38267112,14.848331545
2.640047763,2.800459365,2.723361989,2.770225242,5.074711227,5.010339206,4.882135522,4.896645859,15.206332325,14.769231593,15.553568681,14.898343587
2.658055418,2.848491376,2.703348813,2.780385987,5.07033663,5.028920919,4.890165984,4.857590176,15.199245454,14.827176124,15.400177495,14.853750685
2.614505476,2.783641797,2.709349133,2.753794722,5.06597918,5.035060835,4.881659494,4.885651675,15.16121743,14.763114987,15.383335408,14.888316344
2.631130503,2.792021661,2.70228829,2.774279306,5.112411377,5.00213911,4.881827845,4.865311653,15.067580918,14.730811706,15.445816505,14.889182489
2.622920767,2.781969098,2.703959627,2.758864908,5.100309139,5.009363339,4.892474273,4.870925019,15.078858663,14.738573698,15.448514007,14.88309809
2.612530322,2.771444411,2.689167029,2.740539009,5.086735927,5.021724057,4.885977358,4.90399936,15.106823934,14.750084439,15.404774745,14.8465684
2.63286336,2.783338412,2.698813702,2.738345752,5.101489865,4.959156808,4.904779304,4.90163691,15.136696886,14.736217128,15.35867258,14.868858889
2.652998235,2.768035168,2.702417757,2.767143091,5.042678444,4.99987278,4.895393766,4.870177463,15.10766207,14.721715945,15.470485256,14.925638123
2.656012631,2.77513023,2.702436327,2.753395043,5.037698383,5.027147358,4.935049539,4.845144311,15.097012843,14.754720808,15.384572195,14.875584321
2.628935103,2.810596383,2.693852162,2.76497114,5.02271191,5.014641028,4.882619991,4.871248034,15.087213452,14.830391007,15.390918488,14.82865078
2.616463944,2.766091332,2.698682893,2.766502575,5.10161786,5.107259384,4.87817458,4.878692983,15.197274862,14.748367388,15.370317966,14.879355461
2.640516279,2.770442917,2.705966893,2.766783311,5.065706518,4.961198598,4.853344575,4.868636738,15.07061139,14.772724394,15.580789919,14.865702902
2.640446473,2.784667576,2.711875019,2.792476858,5.082573414,5.009091501,4.882818082,4.862829749,15.090584373,14.713086545,15.428746417,14.890061355
