h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.765215976,1.506058665,1.443744222,1.548556336,2.66544605,1.98618629,2.077295249,1.819242258,17.376318027,17.516620303,17.462001334,17.25327757
2.752843311,1.575728257,1.357259911,1.473994876,2.629624056,1.981420281,2.009612498,1.796304626,17.403342108,17.547968147,17.385423706,17.304966101
2.737647875,1.594333888,1.439713285,1.5448486,2.651272032,2.100956549,2.08052397,1.782307061,17.324758595,17.425230678,17.396953118,17.299127012
2.74924571,1.550064926,1.45271846,1.632584155,2.645261802,2.030466946,2.032062054,1.912406775,17.385537957,17.425096914,17.370535386,17.26824432
2.747321203,1.497479721,1.380963258,1.559624735,2.66283542,1.997262469,2.014529985,1.872971905,17.388038272,17.486086959,17.345430174,17.28277315
2.726526939,1.624051098,1.415975841,1.562792825,2.702138263,2.021768236,2.103348169,1.887134301,17.337854115,17.4916693,17.323113134,17.3087833
2.751799746,1.532174705,1.533031125,1.507206063,2.674615714,2.015022191,1.988833264,1.883729789,17.348475023,17.538855739,17.380216855,17.26384828
2.74548607,1.558984546,1.441653798,1.523832062,2.715820232,2.054145667,2.028378519,1.919614808,17.300422077,17.528684772,17.362045583,17.282507973
2.74610977,1.691289464,1.424116638,1.542444928,2.668637087,2.028196064,2.110083962,1.835557742,17.458636026,17.399310648,17.419356507,17.207507344
2.776179267,1.55813805,1.297501179,1.565929002,2.674122228,2.031902616,2.112284001,1.825630504,17.366121298,17.444015907,17.377063973,17.226551313
2.772221795,1.639157046,1.502239677,1.558170671,2.653177389,1.99820133,2.079222556,1.774035464,17.374123992,17.516111594,17.343005423,17.297303936
2.78030323,1.581001196,1.485103379,1.53714092,2.682183209,1.977884615,2.148745811,1.775542415,17.415886662,17.41968857,17.332721865,17.318261794
2.762081176,1.643971738,1.415029294,1.538128808,2.625707874,2.010553037,2.188296634,1.775849843,17.362375334,17.480390265,17.443816782,17.294654659
2.751071403,1.491657893,1.464313995,1.57260179,2.656862109,2.0413206,2.024589365,1.814658345,17.296415282,17.586492899,17.365900419,17.226307074
2.779806899,1.598794276,1.426657527,1.530460454,2.63517869,2.033356528,1.974887014,1.734645441,17.325016925,17.528304065,17.435149891,17.226352916
2.731321255,1.443005406,1.460681397,1.570495463,2.651671737,1.995797031,1.971088457,1.773585596,17.387518918,17.437800471,17.408639704,17.272384836
2.755057688,1.513250333,1.463707718,1.481776282,2.646769409,2.03595283,2.045959961,1.835959125,17.379733178,17.440231186,17.340060563,17.261206894
2.858972783,1.672004098,1.34181861,1.541328447,2.668908942,2.032360171,2.028483265,1.85620629,17.406446456,17.458292202,17.334957254,17.249363211
2.739949437,1.640274014,1.506441614,1.510191292,2.646765689,1.999073396,2.007171548,1.842937854,17.393931584,17.526687028,17.301348158,17.204932548
2.786802232,1.532897855,1.45985384,1.496064446,2.606651894,2.003031712,2.038830414,1.834750587,17.388788518,17.486810637,17.409685529,17.213245338
2.77819847,1.53770484,1.419095845,1.469430552,2.645088952,2.001301896,2.05080172,1.923682292,17.53905572,17.499401857,17.446683721,17.212203329
2.740255941,1.527806935,1.489907539,1.530552853,2.626876784,1.991620998,2.046372715,1.961366443,17.453288062,17.504463243,17.38796906,17.22377189
2.744456971,1.614293189,1.461424653,1.554327526,2.665938738,2.004327279,2.3514528,1.887744034,17.47208697,17.512073118,17.468183558,17.28523945
2.75076293,1.668738981,1.449347979,1.514486338,2.675957049,1.995616179,2.246908923,1.798023482,17.431317252,17.477767309,17.407365135,17.315322345
2.726553376,1.532109455,1.478004352,1.533290668,2.665154821,1.989393606,2.274248617,1.777585567,17.499918434,17.45711057,17.406848882,17.251540237
2.722406554,1.551636856,1.321956038,1.458794694,2.625918595,2.001460346,2.142748196,1.814892997,17.401751842,17.440376722,17.367961102,17.330527147
2.761106007,1.52393574,1.381926351,1.500387745,2.705137697,1.989360557,2.186680064,1.79015018,17.391862498,17.529448396,17.368693086,17.329653934
2.726562324,1.64620179,1.415117738,1.494834687,2.640077143,2.058007132,2.17494588,1.710968084,17.39919342,17.539396016,17.409784713,17.280557655
2.734461208,1.516472034,1.480641234,1.519597703,2.70563095,2.027011702,1.990503865,1.760965035,17.614894714,17.480349919,17.433826374,17.288511764
2.74845912,1.540730215,1.468098867,1.545134872,2.68191183,2.001225431,2.024140245,1.876482281,17.524995373,17.604337497,17.308312615,17.274884866
