h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.763181336,2.570688952,2.57695341,2.556630293,3.770361135,4.425227958,4.362217997,4.381260429,18.006681277,18.096981242,17.664738513,17.968561557
2.805006243,2.574121239,2.573571201,2.557780792,3.778576523,4.426293413,4.360665438,4.353371683,17.998463305,18.070807634,17.766861119,17.893576806
2.814318112,2.57695452,2.559044571,2.555474287,4.166159131,4.432157077,4.573945307,4.360678258,17.934283959,18.010368387,17.631116442,17.928776742
2.799264133,2.602648007,2.567450269,2.559373257,4.388966918,4.427070039,4.338802976,4.344698409,17.995171408,17.936380022,17.648732079,17.850767143
2.814059109,2.609393162,2.566576619,2.560680644,4.287653673,4.438766191,4.344014558,4.376787778,18.058053081,18.01074336,17.602479595,17.92470907
2.831877968,2.578851872,2.571499853,2.554555853,4.411856393,4.456098005,4.360395734,4.367086597,18.367538522,18.018408786,17.599411433,17.833457183
2.810211423,2.585526366,2.574600943,2.546987574,4.411568284,4.437097156,4.358982895,4.357498218,19.506054768,18.009985465,17.676095454,17.919320517
2.810760391,2.579751455,2.56876806,2.550582042,4.41958998,4.463429874,4.355362543,4.362373908,18.511772765,17.959154562,17.623729234,18.085284502
2.827887635,2.566304979,2.571150103,2.544497921,3.889678047,4.450516119,4.349506707,4.353811949,18.205093488,17.972766849,17.604322122,17.818152074
2.825829029,2.575859125,2.572108555,2.542047775,4.387518436,4.434920875,4.377724497,4.372237547,19.115863541,18.145199178,17.696696439,17.925132254
2.820997085,2.597199519,2.570801197,2.549911634,4.313540236,4.430274001,4.359494039,4.345519179,17.903633419,18.17061441,17.753138525,17.984788403
2.820686672,2.591355331,2.571286876,2.554040811,4.402276719,4.416032611,4.35659679,4.361120276,17.881464679,17.988464699,17.653143578,17.913384109
2.812137957,2.593984388,2.574703658,2.539060984,4.400183656,4.433109296,4.358784636,4.346849244,17.90042233,18.282249776,17.835083266,17.772213601
2.800812637,2.572147569,2.571742025,2.544683422,3.880788231,4.424417411,4.402617267,4.347925832,18.265589779,17.905836308,17.741052598,17.843908717
2.80391873,2.583275989,2.569666689,2.54582099,4.383364424,4.434092621,4.373714301,4.372026424,18.691018215,18.04031194,17.642434974,17.878536608
2.817029267,2.660399217,2.565952688,2.545059276,3.93331878,4.430603195,4.346693961,4.338944244,18.270681729,18.114850035,17.628453936,17.885810571
2.812996089,2.618692925,2.56698111,2.532685628,4.106661356,4.442847796,4.353495417,4.338371884,18.214170378,18.034364707,17.604679349,17.80639341
2.817514224,2.578672236,2.566343415,2.548011898,4.378856437,4.427324723,4.350684112,4.339099988,19.263433143,17.947647674,17.674602051,17.845936914
2.819250178,2.584327385,2.562784299,2.546967928,4.065834136,4.466920354,4.357494087,4.328433218,18.338505908,18.039205312,17.661486835,17.88813641
2.831933559,2.586676492,2.569749842,2.570901519,4.434903828,4.441550323,4.372032916,4.347685703,17.933838146,18.054609751,17.603495663,17.904318749
2.819971946,2.56864625,2.555468029,2.58679492,4.149409514,4.437772787,4.357326814,4.374000018,18.051921283,18.13373625,17.663792006,18.117209371
2.827121867,2.62075193,2.560350098,2.588247728,3.712237001,4.488743816,4.35758774,4.359657985,18.116863411,17.963258383,17.686793974,18.120874002
2.813367834,2.578880418,2.556514562,2.577255017,4.041746928,4.419704441,4.349986862,4.346285148,17.920129086,18.094790062,17.657289496,17.968473159
2.849254943,2.582393586,2.563088457,2.588046457,4.427618467,4.430605184,4.378684301,4.343494563,17.85455784,18.058344536,17.743212114,17.928222393
2.822881547,2.573597252,2.567457268,2.577209714,4.301615474,4.434622335,4.358202144,4.318769537,17.92137158,18.116096077,17.61443419,17.958447165
2.827456815,2.579284475,2.567308122,2.584399285,4.401060867,4.45399084,4.389060503,4.327470665,18.470435761,18.111801071,17.605250811,17.797350678
2.833042993,2.589782251,2.561432211,2.584152796,4.177090118,4.429891334,4.3817546,4.332179401,19.156674645,18.008172406,17.590251119,17.882531876
2.835981683,2.613424479,2.5556761,2.596558456,4.183661613,4.441425528,4.388913833,4.343833445,17.931551574,17.959775112,17.573572317,17.979158865
2.843493269,2.576757592,2.567045019,2.576623778,4.39866602,4.418585965,4.374860988,4.33581447,18.028442445,18.117933774,17.602966428,18.135776905
2.841106455,2.580692211,2.573481001,2.582217279,3.751953686,4.328734587,4.350847778,4.348882396,17.948968213,18.212232082,17.631134618,17.914241349
