h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.860192873,2.552664282,2.528125517,2.54165347,4.438268623,4.309268982,4.312512938,4.406212268,17.526519374,17.455354243,17.57495717,17.36620072
2.813356473,2.554816499,2.551095613,2.544147348,4.457710967,4.309613996,4.632796429,4.276735688,17.461275217,17.451450198,17.513121681,17.382489392
2.80825179,2.546212792,2.532045131,2.54705106,4.443333152,4.302922077,4.284957342,4.267765055,17.428575204,17.462520959,17.547832525,17.774262057
2.802546726,2.556912944,2.534839206,2.541748777,4.448890045,4.29861321,4.286799187,4.277628736,17.553919597,17.770752089,18.096973325,17.429504968
2.809199653,2.542883943,2.528307073,2.53228053,4.452400869,4.300497025,4.321745293,4.268279255,17.427202522,17.516816851,17.580602582,17.461447906
2.818884176,2.557904519,2.533366552,2.53712025,4.449827461,4.300744313,4.341250147,4.124925486,17.435826853,17.497970005,17.513460033,17.408104234
2.818928728,2.54390896,2.530855971,2.537948298,4.443687632,4.31780786,4.345312574,4.279464984,17.622812193,18.030985789,18.22093959,17.516254345
2.827669381,2.554993603,2.532535526,2.540719275,4.534563432,4.311562606,4.34067311,4.288433956,17.580462511,17.47721593,17.55940202,17.427300849
2.817389768,2.540562569,2.532136123,2.567455317,4.447726495,4.294181159,4.335125044,4.264319537,17.410314663,17.452000213,17.614429079,17.441389782
2.810329391,2.554975557,2.534775587,2.562952984,4.446589318,4.30653456,4.335120249,4.274348184,17.443511224,17.579054374,17.628433919,17.939090974
2.810432144,2.541715247,2.538238537,2.542169983,4.451790303,4.295013151,4.33129183,4.27212729,17.565703239,17.530060815,17.734852525,17.363474266
2.821213583,2.558506895,2.537463781,2.552469896,4.451446479,4.301257481,4.334758681,4.274533017,17.456435879,17.46723541,17.5274991,17.364791109
2.806570048,2.598768952,2.471473293,2.546864768,4.466568636,4.307009725,4.333461783,4.279598352,17.459054714,17.532574729,17.554136932,17.564501646
2.80752848,2.676710166,2.51654549,2.550235521,4.454119101,4.306250179,4.297230917,4.263982434,17.541369937,17.619090274,18.363478747,17.423962819
2.819665056,2.543617696,2.514034599,2.52993562,4.459908021,4.284823279,4.489736132,4.32527153,17.452803104,17.491727795,17.621784517,17.39759478
3.058227567,2.555228279,2.510778072,2.543601762,4.437110707,4.299431013,4.283337269,4.280718481,17.469014674,17.49971625,17.57101382,17.408518832
2.824930696,2.552570957,2.510126274,2.53720428,4.454002716,4.291400789,4.276154978,4.270728217,17.465333953,17.714825088,17.798416058,18.197639082
2.833546826,2.54415888,2.519287107,2.532233247,4.452931526,4.29487462,4.279283423,4.277939655,17.634729772,17.409558798,17.60538196,17.428457897
2.822522717,2.537989804,2.519566579,2.540221769,4.453282385,4.298163903,4.288895714,4.277576584,17.484004433,17.39921058,17.611770649,17.403583033
2.819602151,2.5451226,2.518246114,2.550207789,4.452658516,4.31457024,4.277940227,4.275590157,17.453618161,17.471812594,17.501461969,17.539760292
2.825854171,2.54454566,2.518639559,2.677371101,4.691104731,4.615004079,4.277852031,4.266223064,17.546102752,17.675212225,18.624445579,17.422186796
2.827694312,2.551527089,2.518280304,2.583019374,4.68476323,4.316475091,4.274006948,4.274437529,17.47772911,17.504281805,17.683893394,17.418666139
2.818271534,2.542346462,2.518776262,2.576274198,4.44274442,4.323551525,4.273707677,4.271104761,17.454237067,17.491527543,17.561809684,17.428956429
2.825203652,2.541925437,2.516881305,2.581326141,4.446328202,4.348566938,4.289391376,4.276715436,17.427872099,17.836972442,17.937471717,17.576788141
2.820704042,2.545548515,2.538004262,2.57716085,4.446901765,4.304945191,4.27011337,4.285429685,17.737628833,17.517281717,17.649237689,17.399989705
2.82683188,2.540860961,2.684008184,2.579968725,4.472955611,4.325330251,4.276659722,4.276606788,17.475547103,17.458662196,17.626110059,17.45142019
2.826697142,2.549787604,2.511618569,2.576852133,4.448158882,4.310288076,4.289575602,4.271843684,17.420485832,17.531378897,17.883484935,17.57048014
2.822806449,2.549923983,2.519913509,2.585388901,4.444869079,4.319932901,4.289683157,4.270463737,17.488826283,17.498474717,17.62041347,17.42861628
2.833204562,2.547974461,2.511871721,2.581691217,4.442999334,4.321398512,4.323977289,4.312678945,17.471046974,17.489938064,17.546057753,17.398322357
2.835094153,2.543582887,2.524468752,2.581215761,4.437873598,4.316011237,4.272869763,4.279292973,17.407543977,17.504182238,17.678051174,17.446389317
