h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.896048733,2.620755528,2.525842874,2.567521095,4.538140383,4.151929726,4.970193068,4.316172965,17.601519035,17.689972756,17.902889556,18.330801393
2.835424307,2.548524691,2.527352153,2.565802917,4.546720846,4.348157866,4.306403287,4.305144869,17.58666689,17.651133237,18.750294679,17.627063156
2.865638805,2.545433943,2.522890133,2.554482306,4.556016242,4.348019019,4.297441462,4.310289045,17.978023531,18.313352262,18.059750928,17.503316581
2.896965814,2.546415329,2.529986023,2.553577054,4.547227655,4.347334072,4.310356628,4.320688726,17.543380708,17.80821257,17.841899163,18.06494284
2.841752514,2.571073621,2.523350054,2.573015205,4.55039345,4.352615181,4.302931871,4.310659811,17.520998817,17.701438678,18.715021998,17.661551687
2.900172288,2.541582409,2.522337142,3.068379596,4.546675463,4.372546942,4.299211115,4.320613224,17.568951282,18.083450564,18.007399844,17.616779474
2.848971349,2.532756485,2.528213977,2.587093391,4.53703399,4.348380513,4.316737974,4.321797076,18.096144546,17.819426306,17.672900094,17.616377535
2.838635939,2.539875607,2.560244452,2.56348766,4.52368872,4.351829776,4.293124651,4.306526992,17.564882346,17.711069495,18.36150642,17.849891836
2.882900059,2.534612554,2.899260249,2.562018453,4.934319954,4.713787105,4.315645793,4.295502502,17.567865916,17.61600465,18.669212834,17.611098323
2.853711432,2.542005918,2.534845078,2.56651041,4.490158291,4.3478351,4.299067468,4.308380776,17.931103212,18.106075574,18.299306337,17.57504446
2.846226196,2.54585915,2.530854243,2.564561164,4.491195476,4.35450669,4.300488454,4.307068827,17.601999439,17.611576252,17.92233012,17.928703808
2.829503547,2.547161159,2.529258032,2.570185498,4.475735906,4.346295638,4.302950153,4.305059193,17.627418141,17.633017732,18.632032016,17.707123885
2.845648901,2.533994681,2.526873926,2.568113884,4.473588286,4.369251976,4.305905141,4.382470415,17.877348508,18.532593239,18.074117416,17.793894706
2.845370851,2.538146108,2.533894959,2.560976478,4.482643459,4.34264827,4.317967116,4.408678328,17.517481299,17.714652724,17.824122014,18.209552911
2.846771227,2.530701483,2.530356103,2.56166327,4.49808419,4.346488213,4.323315488,4.321074245,17.649228071,17.619874978,18.582037402,17.748650658
2.827699612,2.543892904,2.526078744,2.560103073,4.490581721,4.343467777,4.304300857,4.311857731,17.664097852,17.695866921,17.837077894,17.572572
2.838806437,2.537813065,2.534461139,2.553358385,4.512144543,4.348094677,4.300936953,4.304900883,17.965798419,17.918694581,17.713297847,17.592926635
2.839843459,2.543696014,2.535936852,2.560025826,4.488053851,4.351600281,4.291024709,4.30330839,17.515054538,17.545306733,18.171184861,17.926931935
2.85218208,2.547438331,2.530650328,2.556359345,4.486914185,4.35041923,4.294273877,4.312652834,17.624572824,17.708658544,17.711933164,17.560265477
3.800026609,2.539215784,2.532744579,2.558573317,4.489169658,4.353259723,4.303655078,4.321562398,18.124510718,18.311146597,17.852011633,17.601685546
2.860759581,2.535532082,2.525289913,2.558622101,4.509012913,4.354404732,4.300811279,4.307662347,17.640334755,17.6712676,17.779331368,18.014863716
2.858178533,2.538095887,2.534095886,2.560215783,5.331679769,4.387219381,4.293976699,4.328716011,17.699117861,17.639877864,18.236107122,17.569105062
2.844252902,2.565305798,2.527126124,2.563739208,4.492295116,4.829899768,4.311718602,4.30646649,17.678904222,18.298746551,17.800253378,17.630107541
2.839350449,3.730263206,2.525339277,2.561847513,4.498654599,4.363942697,4.290887052,4.30954446,18.046623645,17.577535743,17.864675314,17.727364754
2.861491831,2.580597514,2.521554506,2.558255531,4.483584017,4.392415342,4.295010963,4.311721214,17.692618597,17.676602147,19.060156938,17.816543015
2.838129129,2.584270121,2.526790807,2.555520882,4.464971274,4.626086521,4.32371676,4.307337739,17.654773917,17.592343674,18.055897288,17.656956816
2.843669806,2.577606632,2.526821417,2.56038139,4.497660342,4.357300161,4.342472923,4.359652605,18.110232091,18.236658059,18.104914676,17.666160768
2.83997937,2.566184117,2.525069336,2.607838163,4.527404069,4.322584433,4.341270725,4.327785661,17.679777293,17.582145179,18.417141183,18.122164951
2.854473277,2.569625843,2.526406252,3.232667834,4.498388012,4.336363869,4.798920172,4.314626836,17.723150718,17.72868249,17.782775874,17.559286114
2.847457912,2.575149452,2.525895928,2.575575561,4.48483212,4.329945666,4.314118731,4.321058163,18.055621739,18.02266207,17.754853037,17.602415531
