h264 1 thread,h264 3 thread,h264 5 thread,h264 10 thread,h265 1 thread,h265 3 thread,h265 5 thread,h265 10 thread,vp9 1 thread,vp9 3 thread,vp9 5 thread,vp9 10 thread
2.756139315,1.639979859,1.644198091,1.753646211,2.966668148,2.233610974,2.263632393,2.36639524,17.527268394,17.588135843,17.996360613,17.714505845
2.735841319,1.677382709,1.688821239,1.570975208,2.943854456,2.293638934,2.220387045,2.401231681,17.521300716,17.359626893,18.173278682,17.673253412
2.738627418,1.590866219,1.657859972,1.627741183,2.948678324,2.35874067,2.281737702,2.443404946,17.5083253,17.350007138,18.206980511,17.645654035
2.742848583,1.588535583,1.601571194,1.61454968,2.927887298,2.298792092,2.061582302,2.511816328,17.494780107,17.374810491,18.010174673,17.603550246
2.737783354,1.574402263,1.695054257,1.70677173,2.917006211,2.413271015,2.240044889,2.394961981,17.531679267,17.388253502,17.875626045,17.762512273
2.731055892,1.51564774,1.714914628,1.570724969,2.967488977,2.213782033,2.259720241,2.403697364,17.841852082,17.353883521,17.671514054,17.617563683
2.752771475,1.584868675,1.655094677,1.556996618,3.019885803,2.347884885,2.200285463,2.263857829,18.826336578,17.318330591,17.7608583,17.66550284
2.762374126,1.600076692,1.695602629,1.604718124,3.015546177,2.36874071,2.265664139,2.374395874,17.787793613,17.29784747,18.003355363,17.672489358
2.717185891,1.65107572,1.615784316,1.527964611,3.089467613,2.240237489,2.270228772,2.469651033,17.62619671,17.280068052,17.988650199,17.731223314
2.732041197,1.60444891,1.663459363,1.665467799,3.065104774,2.255500302,2.198938808,2.63044567,17.838493807,17.28754379,17.938901712,17.716538485
2.749584069,1.574391494,1.65300475,1.607876218,2.964574814,2.353578488,2.209207216,2.444620906,18.061915572,17.409360003,17.920992051,17.821215144
2.743869292,1.626951881,1.711824828,1.569862827,2.868625426,2.390766777,2.326634995,2.406146903,17.989117036,17.337168759,17.906504481,17.679262404
2.744059917,1.616588022,1.689433601,1.427993829,3.046708756,2.303129681,2.217235934,2.426101037,17.862083826,17.38379178,17.89466936,17.586390189
2.747438947,1.631003008,1.702880619,1.510749474,2.979636791,2.381354068,2.202805023,2.437876714,17.982655065,17.408751456,17.859204738,17.705509902
2.759798884,1.652135396,1.658754383,1.648038369,3.070267803,2.352660215,2.244221196,2.380275506,17.652924962,17.374708497,17.944568009,17.824917979
2.724216024,1.670875847,1.675632314,1.569289324,3.067897783,2.313578927,2.340995889,2.356536782,17.584651278,17.384847334,17.856234366,17.766108847
2.73648819,1.724830954,1.649520712,1.625045554,3.058737875,2.393197103,2.206288069,2.444557134,17.615205215,17.3598441,18.19260791,17.630685193
2.742287834,1.682035462,1.664232412,1.492568875,3.000810653,2.335583313,2.146824017,2.421279958,17.518491956,17.474973963,18.012610034,17.691278356
2.748385911,1.697713502,1.618755623,1.637059734,3.061153517,2.309081883,2.368055916,2.398360699,17.664553258,17.366124092,18.231477478,17.823373607
2.709533707,1.57295066,1.626374398,1.656249129,3.034119881,2.307791166,2.337567788,2.260480153,17.807391317,17.353133875,18.579939817,17.831018277
2.720972491,1.66096835,1.653886702,1.694618867,3.00375964,2.30240083,2.306063852,2.382807231,17.639426992,17.479198714,17.885089066,18.148953087
2.726718173,1.559287302,1.627825861,1.718160267,3.056957282,2.28108486,2.357049021,2.459802599,17.832559764,17.549487889,18.101497414,18.078872472
2.742144742,1.658361442,1.661366465,1.623797856,3.004860996,2.264086691,2.342506979,2.409408845,17.798684673,17.347638718,18.175609366,18.096937407
2.713793948,1.652775452,1.672497335,1.723673695,2.986371253,2.321544875,2.320636738,2.352835276,17.817654506,17.287136061,18.086460553,17.907044286
2.739114663,1.53290328,1.626928858,1.730435683,3.025494995,2.331335532,2.329330697,2.30428652,17.786426267,17.324199214,18.205594138,18.216110895
2.716287308,1.613433625,1.654359465,1.68337731,2.920650598,2.33112945,2.160535388,2.463086761,17.796437929,17.285516761,17.922762617,18.488572514
2.717965419,1.630989647,1.661968699,1.73185469,3.023724059,2.220349671,2.209970595,2.467910788,17.924004293,17.314020526,18.067441446,18.380716666
2.73586096,1.513062364,1.545988234,1.629059334,3.322624934,2.318070589,2.27003128,2.298713704,17.679967893,17.417078644,17.91710817,18.014295787
2.723336554,1.695385335,1.625499888,1.609658296,3.089290524,2.294518243,2.246271539,2.357737504,17.656124363,17.282952791,17.907117643,17.82534408
2.729520218,1.662400475,1.715779141,1.633537623,3.008561967,2.374583543,2.221513074,2.306929774,17.593542379,17.409821153,17.953864578,17.837880738
